,ID,Name,Nationality,Club,Position,Preferred Foot,Value,Wage,Age,International Reputation,Crossing,HeadingAccuracy,Dribbling,LongPassing,BallControl,Agility,Stamina,Interceptions,Penalties,Overall
0,158023,L. Messi,Argentina,FC Barcelona,RF,Left,110.5M,565000,31,5,84,70,97,87,96,91,72,22,75,94
1,20801,Cristiano Ronaldo,Portugal,Juventus,ST,Right,77M,405000,33,5,84,89,88,77,94,87,88,29,85,94
2,190871,Neymar Jr,Brazil,Paris Saint-Germain,LW,Right,118.5M,290000,26,5,79,62,96,78,95,96,81,36,81,92
3,193080,De Gea,Spain,Manchester United,GK,Right,72M,260000,27,4,17,21,18,51,42,60,43,30,40,91
4,192985,K. De Bruyne,Belgium,Manchester City,RCM,Right,102M,355000,27,4,93,55,86,91,91,79,90,61,79,91
5,183277,E. Hazard,Belgium,Chelsea,LF,Right,93M,340000,27,4,81,61,95,83,94,95,83,41,86,91
6,177003,L. Modrić,Croatia,Real Madrid,RCM,Right,67M,420000,32,4,86,55,90,88,93,93,89,83,82,91
7,176580,L. Suárez,Uruguay,FC Barcelona,RS,Right,80M,455000,31,5,77,77,87,64,90,82,90,41,85,91
8,155862,Sergio Ramos,Spain,Real Madrid,RCB,Right,51M,380000,32,4,66,91,63,77,84,78,84,90,75,91
9,200389,J. Oblak,Slovenia,Atlético Madrid,GK,Right,68M,94000,25,3,13,15,12,26,16,67,41,19,11,90
10,188545,R. Lewandowski,Poland,FC Bayern München,ST,Right,77M,205000,29,4,62,85,85,65,89,78,78,39,88,90
11,182521,T. Kroos,Germany,Real Madrid,LCM,Right,76.5M,355000,28,4,88,54,81,93,90,70,75,82,73,90
12,182493,D. Godín,Uruguay,Atlético Madrid,CB,Right,44M,125000,32,3,55,92,53,70,76,58,66,88,50,90
13,168542,David Silva,Spain,Manchester City,LCM,Left,60M,285000,32,4,84,54,89,87,94,92,78,50,75,90
14,215914,N. Kanté,France,Chelsea,LDM,Right,63M,225000,27,3,68,54,79,81,80,82,96,92,54,89
15,211110,P. Dybala,Argentina,Juventus,LF,Left,89M,205000,24,3,82,68,92,75,92,91,80,32,86,89
16,202126,H. Kane,England,Tottenham Hotspur,ST,Right,83.5M,205000,24,3,75,85,80,82,84,71,89,35,90,89
17,194765,A. Griezmann,France,Atlético Madrid,CAM,Left,78M,145000,27,4,82,84,88,76,90,90,83,35,79,89
18,192448,M. ter Stegen,Germany,FC Barcelona,GK,Right,58M,240000,26,3,15,11,17,42,18,37,35,22,25,89
19,192119,T. Courtois,Belgium,Real Madrid,GK,Left,53.5M,240000,26,4,14,13,13,35,23,61,38,15,27,89
20,189511,Sergio Busquets,Spain,FC Barcelona,CDM,Right,51.5M,315000,29,4,62,68,80,82,88,66,86,87,60,89
21,179813,E. Cavani,Uruguay,Paris Saint-Germain,LS,Right,60M,200000,31,4,70,89,80,52,82,77,92,48,85,89
